05/05/2024 14:38:12, add, high, 223126, Racelink 223126 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [400]  Q-Team VDK Racing , , 
05/05/2024 14:38:12, resolve, high, 223126, Racelink 223126 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Endurance] Total violation time: 970 seconds., PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [400]  Q-Team VDK Racing , , 
05/05/2024 14:38:24, add, high, 223276, Racelink 223276 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [525]  Team Viking Ursus Capital Racing , , 
05/05/2024 14:38:25, resolve, high, 223276, Racelink 223276 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 983 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [525]  Team Viking Ursus Capital Racing , , 
05/05/2024 14:38:27, add, high, 213185, Racelink 213185 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 23, [888]  SP Consulting by SRS , , 
05/05/2024 14:38:27, resolve, high, 213185, Racelink 213185  no longer in areas [Pit Inter] Total violation time: 985 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 23, [888]  SP Consulting by SRS , , 
05/05/2024 14:38:29, add, high, 222905, Racelink 222905 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [432]  BR team 2 , , 
05/05/2024 14:38:32, update, high, 222905, Racelink 222905 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [432]  BR team 2 , , 
05/05/2024 14:38:34, resolve, high, 222905, Racelink 222905 average speed of 5 second(s) is no longer above 53 kph in areas [Pit Inter] Total violation time: 992 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [432]  BR team 2 , , 
05/05/2024 14:38:34, add, high, 223236, Racelink 223236 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 15, [463]  M3M , , 
05/05/2024 14:38:35, resolve, high, 223236, Racelink 223236  no longer in areas [Pit Inter] Total violation time: 993 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 15, [463]  M3M , , 
05/05/2024 14:38:40, add, low, 222858, Racelink 222858 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [183]  BH Motors , , 
05/05/2024 14:38:42, resolve, low, 222858, Racelink 222858 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 1000 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [183]  BH Motors , , 
05/05/2024 14:38:45, add, high, 223281, Racelink 223281 speed is above 53 kph in areas [Pit F1], PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [427]  SPEBOFF , , 
05/05/2024 14:38:45, resolve, high, 223281, Racelink 223281 speed is no longer above 53 kph in areas [Pit F1] Total violation time: 1003 seconds., PITSPEED_F1, Generates alerts when racelink speed is above 53 kph in areas [Pit F1], 4, [427]  SPEBOFF , , 
05/05/2024 14:38:47, add, high, 222964, Racelink 222964 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [517]  DDK Mega , , 
05/05/2024 14:38:48, resolve, high, 222964, Racelink 222964  no longer in areas [Pit Inter] Total violation time: 1006 seconds., PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 6, [517]  DDK Mega , , 
05/05/2024 14:38:48, add, high, 223221, Racelink 223221 average speed of 5 second(s) is above 53 kph in areas [Pit Inter], PITSPEED_INTER, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Inter], 5, [471]  Autosphere , , 
